episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
1,10,0.043504346162080765,1,0.12,0.20689655172413793,1,0,0
1,20,0.051497943699359894,1,-0.24,2.2666666666666666,8,0,1
1,30,0.03719977289438248,1,0.07,0.7777777777777778,8,0,1
1,40,0.10025453567504883,0,-0.32,0.8604651162790697,8,0,0
1,50,0.09730468690395355,0,-0.22,0.575,7,0,1
1,60,0.08821109682321548,0,-0.28,0.5789473684210527,6,0,1
1,70,0.033242397010326385,1,0.36,0.625,4,0,1
1,80,0.034803032875061035,1,0.01,0.9047619047619048,5,0,1
1,90,0.11654098331928253,0,0.07,0.34146341463414637,6,0,0
1,100,0.03480631113052368,1,0.4,1.069767441860465,4,0,1
1,110,0.08662068843841553,1,-0.49,3.1666666666666665,13,0,1
1,120,0.0713932141661644,1,-0.26,0.7368421052631579,9,0,1
1,130,0.09686052799224854,0,0.54,6.0,17,0,1
1,140,0.07005305588245392,0,-1.62,10.976744186046512,35,0,0
1,150,-0.019967110827565193,0,-0.79,3.642857142857143,20,0,0
1,160,0.004161197692155838,0,-0.04,0.16216216216216217,5,0,0
1,170,-0.025865646079182625,1,-0.68,1.4545454545454546,12,0,1
1,180,-0.023590724915266037,1,-0.25,0.5853658536585366,7,0,0
1,190,0.1947467029094696,1,-0.07,2.6666666666666665,17,0,1
1,200,0.19614535570144653,1,0.75,1.8108108108108107,10,0,1
1,210,0.21198752522468567,1,-0.47,3.1052631578947367,11,0,1
1,220,0.004296984523534775,1,0.1,1.8974358974358974,12,0,0
1,230,0.2659098505973816,1,0.1,7.8604651162790695,22,0,0
1,240,-0.005947113037109375,1,0.2,0.05128205128205128,2,0,0
1,250,-0.06725236773490906,1,-0.32,0.75,9,0,0
1,260,-0.045308712869882584,1,0.31,0.5555555555555556,7,0,0
1,270,0.2629410922527313,1,-0.06,1.2,9,0,1
1,280,0.21098604798316956,0,-0.35,3.0277777777777777,7,0,1
1,290,-0.05380460247397423,1,-1.14,7.230769230769231,28,0,0
1,300,0.3381120264530182,1,0.67,1.0789473684210527,9,0,1
1,310,0.3276495933532715,1,0.35,1.6521739130434783,15,0,1
1,320,0.37740975618362427,1,-0.07,0.9285714285714286,10,0,1
1,330,0.2660493850708008,1,0.28,0.45,6,0,1
1,340,0.39989981055259705,0,-0.37,2.0,15,0,1
1,350,0.051749132573604584,1,0.0,0.13513513513513514,2,0,0
1,360,0.4075949490070343,0,0.25,0.6153846153846154,9,0,1
1,370,-0.038181595504283905,1,-0.9,3.4318181818181817,16,0,0
1,380,0.25962451100349426,0,0.94,1.7692307692307692,8,0,1
1,390,-0.09042519330978394,1,-0.78,3.641025641025641,19,0,0
1,400,0.09207777678966522,1,-0.33,1.0227272727272727,7,0,0
1,410,0.4221627116203308,1,0.85,1.55,13,0,0
1,420,0.1849522739648819,1,0.44,0.0,1,0,0
1,430,0.480427086353302,1,-0.12,0.5526315789473685,6,0,1
1,440,0.2860232889652252,1,-0.2,1.6578947368421053,5,0,1
1,450,0.40484797954559326,1,0.08,0.5952380952380952,7,0,1
1,460,-0.005817350000143051,1,-0.23,0.6578947368421053,7,0,0
1,470,0.42407768964767456,0,0.03,0.7894736842105263,12,0,1
1,480,0.2494274377822876,0,-0.17,1.868421052631579,5,0,1
1,490,0.33026158809661865,1,-0.04,1.255813953488372,12,0,1
