episode,step,value_estimate,optimum_action,reward,avg_waiting_time,total_stopped,co2_emissions,actual_action
41,29230,[[0.00486642]],0,[0.03],0.0,0,0,[1]
41,29240,[[-0.03606419]],1,[0.],0.0,0,0,[0]
41,29250,[[-0.00511757]],0,[0.],0.0,0,0,[1]
41,29260,[[-0.02481904]],1,[0.],0.0,0,0,[0]
41,29270,[[-0.0056233]],0,[0.],0.0,0,0,[1]
41,29280,[[-0.03549476]],1,[0.05],0.0,0,0,[0]
41,29290,[[-0.02250177]],0,[0.],0.0,0,0,[1]
41,29300,[[-0.03246078]],1,[0.11],0.0,0,0,[0]
41,29310,[[-0.01192139]],0,[0.],0.0,0,0,[1]
41,29320,[[-0.03475843]],1,[0.],0.0,0,0,[0]
41,29330,[[-0.01001562]],0,[0.01],0.0,0,0,[1]
41,29340,[[-0.03637985]],1,[0.05],0.0,0,0,[0]
41,29350,[[-0.02464572]],0,[0.],0.0,0,0,[1]
41,29360,[[-0.00285376]],0,[0.],0.0,0,0,[0]
41,29370,[[-0.02051708]],1,[0.],0.0,0,0,[1]
41,29380,[[-0.01770737]],0,[0.],0.0,0,0,[1]
41,29390,[[-0.02769676]],1,[0.01],0.0,0,0,[0]
41,29400,[[-0.04004168]],0,[0.],0.0,0,0,[1]
41,29410,[[-0.02739203]],1,[0.05],0.0,0,0,[0]
41,29420,[[-0.0304433]],0,[0.],0.0,0,0,[1]
41,29430,[[-0.02971998]],1,[0.],0.0,0,0,[0]
41,29440,[[-0.02497037]],0,[0.],0.0,0,0,[1]
41,29450,[[-0.03435224]],1,[0.01],0.0,0,0,[0]
41,29460,[[-0.03464478]],0,[0.02],0.0,0,0,[1]
41,29470,[[-0.03040818]],1,[0.09],0.0,0,0,[0]
41,29480,[[-0.02251571]],0,[0.],0.0,0,0,[1]
41,29490,[[-0.02266961]],1,[0.],0.0,0,0,[0]
41,29500,[[-0.0112308]],0,[-0.03],0.42857142857142855,1,0,[1]
41,29510,[[-0.03083954]],1,[0.],0.0,0,0,[0]
41,29520,[[-0.0277546]],1,[-0.03177831],0.0,0,0,[1]
42,29530,[[-0.01392714]],1,[0.],0.0,0,0,[1]
42,29540,[[-0.01878027]],0,[0.06],0.0,0,0,[1]
42,29550,[[-0.02553454]],1,[0.],0.0,0,0,[0]
42,29560,[[-0.01500055]],0,[0.],0.0,0,0,[1]
42,29570,[[0.01478235]],0,[-0.09],2.0,2,0,[0]
42,29580,[[-0.01638338]],1,[0.],0.0,0,0,[1]
42,29590,[[0.00962086]],0,[0.],0.0,0,0,[0]
42,29600,[[0.00068285]],1,[0.],0.0,0,0,[1]
42,29610,[[0.01450718]],0,[-0.02],0.4,1,0,[0]
42,29620,[[-0.00780682]],1,[0.],0.0,0,0,[1]
42,29630,[[-0.00403033]],0,[0.],0.0,0,0,[1]
42,29640,[[-0.00778163]],0,[0.03],0.0,0,0,[1]
42,29650,[[-0.00985298]],1,[0.09],0.0,0,0,[0]
42,29660,[[0.01249715]],1,[0.],0.0,0,0,[0]
42,29670,[[0.03383143]],0,[-0.04],0.8,2,0,[0]
42,29680,[[0.03323267]],0,[-0.05],1.0,2,0,[0]
42,29690,[[0.00070744]],1,[-0.03],0.6,1,0,[1]
42,29700,[[-0.01086529]],1,[0.],0.0,0,0,[0]
42,29710,[[0.00224743]],0,[0.],0.0,0,0,[1]
42,29720,[[0.00938494]],0,[0.],0.0,0,0,[0]
42,29730,[[-0.02647721]],1,[-0.24],0.9259259259259259,6,0,[1]
42,29740,[[-0.19068035]],1,[0.16],0.03125,2,0,[0]
42,29750,[[-0.02145062]],1,[0.13],0.3225806451612903,2,0,[1]
42,29760,[[0.05465446]],1,[0.17],0.15625,4,0,[1]
42,29770,[[-0.00777704]],1,[-0.19],0.7941176470588235,8,0,[1]
42,29780,[[0.02062761]],0,[-0.04],0.6571428571428571,4,0,[1]
42,29790,[[0.03937484]],1,[0.14],0.03333333333333333,1,0,[1]
42,29800,[[0.20750588]],1,[-0.14],0.5333333333333333,6,0,[1]
42,29810,[[-0.07390901]],1,[0.06],0.09375,3,0,[0]
42,29820,[[0.05162358]],1,[0.07],0.35714285714285715,5,0,[1]
42,29830,[[0.02489658]],1,[-0.12],0.6666666666666666,6,0,[1]
42,29840,[[0.03628629]],0,[-0.04],0.6571428571428571,2,0,[1]
42,29850,[[0.14487898]],1,[-0.11],0.4827586206896552,4,0,[1]
42,29860,[[-0.08666374]],1,[0.16],0.034482758620689655,2,0,[0]
42,29870,[[0.05418349]],1,[-0.01],0.21875,3,0,[1]
42,29880,[[0.16481803]],1,[-0.07],0.3,4,0,[1]
42,29890,[[-0.08799684]],1,[0.24],0.0967741935483871,1,0,[0]
42,29900,[[0.0207007]],1,[0.07],0.06896551724137931,2,0,[1]
42,29910,[[0.02187347]],1,[-0.01],0.4838709677419355,5,0,[1]
42,29920,[[0.07021809]],0,[-0.09],1.121212121212121,4,0,[1]
42,29930,[[0.07240939]],0,[-0.01],0.7142857142857143,3,0,[1]
42,29940,[[-0.05902835]],1,[-0.09],1.3333333333333333,2,0,[1]
42,29950,[[0.03488231]],0,[0.],0.0,0,0,[0]
42,29960,[[0.02176542]],1,[0.],0.0,0,0,[1]
42,29970,[[0.05246368]],0,[-0.02],0.3333333333333333,2,0,[0]
42,29980,[[0.01681725]],1,[0.],0.0,0,0,[1]
42,29990,[[0.04386417]],0,[-0.08],1.8,2,0,[0]
42,30000,[[0.01124766]],1,[0.],0.0,0,0,[1]
42,30010,[[0.01285299]],1,[0.],0.0,0,0,[1]
42,30020,[[0.02052902]],0,[0.],0.0,0,0,[0]
42,30030,[[0.01011798]],1,[0.],0.0,0,0,[0]
42,30040,[[0.03886434]],0,[-0.07],1.4,2,0,[0]
42,30050,[[0.01652367]],1,[-0.03],0.5,1,0,[1]
42,30060,[[0.00201776]],0,[0.],0.0,0,0,[1]
42,30070,[[-0.01404419]],1,[0.07],0.0,0,0,[0]
42,30080,[[0.00167005]],1,[0.],0.0,0,0,[1]
42,30090,[[0.00014186]],0,[0.],0.0,0,0,[0]
42,30100,[[0.01671503]],1,[-0.01],0.14285714285714285,1,0,[1]
42,30110,[[0.0389466]],0,[-0.1],2.75,2,0,[0]
42,30120,[[-0.01110921]],0,[0.],0.0,0,0,[0]
42,30130,[[0.00805981]],0,[0.],0.0,0,0,[1]
42,30140,[[-0.00691972]],1,[0.],0.0,0,0,[1]
42,30150,[[0.03836488]],0,[-0.04],0.8,2,0,[0]
42,30160,[[-0.00169353]],0,[0.],0.0,0,0,[1]
42,30170,[[0.03390644]],0,[-0.08],1.6,2,0,[0]
42,30180,[[0.00933725]],1,[-0.05],1.0,1,0,[1]
42,30190,[[0.01625317]],0,[0.],0.0,0,0,[1]
42,30200,[[0.01159197]],0,[0.],0.0,0,0,[0]
42,30210,[[0.00487544]],0,[0.],0.0,0,0,[0]
42,30220,[[0.00166831]],0,[0.],0.0,0,0,[0]
42,30230,[[-0.01004066]],1,[0.],0.0,0,0,[0]
42,30240,[[-0.00924807]],1,[0.01089954],0.0,0,0,[0]
43,30250,[[0.01083228]],0,[0.],0.0,0,0,[0]
43,30260,[[-0.01084497]],0,[0.04],0.0,0,0,[1]
43,30270,[[0.03235109]],0,[-0.03],0.5,2,0,[0]
43,30280,[[-0.01450262]],0,[0.],0.0,0,0,[1]
43,30290,[[0.01335232]],0,[-0.1],2.4,2,0,[0]
43,30300,[[-0.03520963]],1,[0.06],0.0,0,0,[0]
43,30310,[[-0.01874658]],0,[0.],0.0,0,0,[1]
43,30320,[[-0.00301949]],0,[0.],0.0,0,0,[0]
43,30330,[[-0.0011588]],1,[-0.01],0.14285714285714285,1,0,[0]
43,30340,[[-0.01534321]],0,[0.],0.0,0,0,[1]
43,30350,[[-0.02299061]],1,[0.],0.0,0,0,[0]
43,30360,[[-0.02397591]],1,[0.],0.0,0,0,[1]
43,30370,[[-0.02120912]],0,[0.],0.0,0,0,[1]
43,30380,[[-0.00961766]],0,[0.],0.0,0,0,[0]
43,30390,[[-0.00737824]],1,[0.],0.0,0,0,[1]
43,30400,[[-0.01115674]],0,[0.],0.0,0,0,[1]
43,30410,[[-0.01890259]],1,[0.01],0.0,0,0,[0]
43,30420,[[-0.02563702]],0,[0.],0.0,0,0,[1]
43,30430,[[-0.01672111]],1,[0.09],0.0,0,0,[0]
43,30440,[[-0.01107689]],0,[0.06],0.0,0,0,[1]
43,30450,[[-0.02897278]],0,[0.],0.04,1,0,[1]
43,30460,[[-0.00953198]],1,[0.13],0.16666666666666666,2,0,[1]
43,30470,[[0.00905338]],1,[0.03],0.5333333333333333,4,0,[1]
43,30480,[[-0.135818]],1,[0.23],0.03333333333333333,2,0,[0]
43,30490,[[0.07724346]],1,[0.],0.47058823529411764,4,0,[1]
43,30500,[[-0.08783545]],1,[0.28],0.0,2,0,[0]
43,30510,[[0.01326252]],1,[0.11],0.1,2,0,[1]
43,30520,[[-0.0927038]],1,[0.26],0.07407407407407407,2,0,[0]
43,30530,[[-0.04457873]],1,[0.06],0.2857142857142857,3,0,[1]
43,30540,[[0.06077573]],1,[-0.14],0.48148148148148145,4,0,[1]
43,30550,[[0.06317016]],0,[-0.08],0.6206896551724138,2,0,[1]
43,30560,[[0.00100834]],1,[0.11],0.0,1,0,[1]
43,30570,[[-0.10397593]],1,[0.15],0.0,0,0,[0]
43,30580,[[0.01785218]],1,[0.09],0.2413793103448276,3,0,[1]
43,30590,[[0.15645194]],1,[-0.08],0.3225806451612903,6,0,[1]
43,30600,[[0.08634108]],0,[-0.14],1.7586206896551724,4,0,[1]
43,30610,[[0.01694304]],1,[0.05],0.5,2,0,[1]
43,30620,[[-0.01959284]],1,[-0.02],0.36666666666666664,5,0,[1]
43,30630,[[0.13229549]],1,[-0.16],0.45161290322580644,5,0,[1]
43,30640,[[0.16310897]],0,[-0.09],1.2333333333333334,5,0,[1]
43,30650,[[-0.0053492]],1,[-0.13],1.5,3,0,[1]
43,30660,[[0.07726022]],0,[0.],0.0,0,0,[0]
43,30670,[[0.06272149]],1,[0.],0.0,0,0,[1]
43,30680,[[0.07134447]],0,[0.],0.0,0,0,[0]
43,30690,[[0.05781218]],1,[-0.01],0.14285714285714285,1,0,[1]
43,30700,[[0.0945642]],0,[-0.06],1.2,2,0,[0]
43,30710,[[0.03387152]],1,[0.],0.0,0,0,[1]
43,30720,[[0.05130981]],0,[0.],0.0,0,0,[0]
43,30730,[[0.04975335]],1,[0.],0.0,0,0,[1]
43,30740,[[0.08894075]],0,[-0.01],0.14285714285714285,1,0,[0]
43,30750,[[0.04437434]],1,[0.],0.0,0,0,[1]
43,30760,[[0.08863211]],0,[-0.04],0.8,2,0,[0]
43,30770,[[0.04995086]],1,[-0.04],0.6666666666666666,1,0,[1]
43,30780,[[0.03309156]],0,[0.],0.0,0,0,[1]
43,30790,[[0.03759195]],1,[0.07],0.0,0,0,[0]
43,30800,[[0.04289577]],0,[0.06],0.0,0,0,[1]
43,30810,[[0.03935976]],1,[0.],0.0,0,0,[0]
43,30820,[[0.03968755]],0,[0.],0.0,0,0,[1]
43,30830,[[0.03588513]],1,[0.],0.0,0,0,[0]
43,30840,[[0.01985093]],0,[0.],0.0,0,0,[1]
43,30850,[[0.0403644]],0,[0.],0.0,0,0,[0]
43,30860,[[0.04218274]],1,[0.],0.0,0,0,[1]
43,30870,[[0.06044901]],0,[-0.02],0.3333333333333333,1,0,[0]
43,30880,[[0.03396654]],1,[0.],0.0,0,0,[1]
43,30890,[[0.01711633]],1,[0.],0.0,0,0,[1]
43,30900,[[0.05709841]],0,[-0.05],1.6,1,0,[0]
43,30910,[[0.02935922]],1,[0.],0.0,0,0,[1]
43,30920,[[0.0652701]],0,[0.],0.0,0,0,[0]
43,30930,[[0.02961076]],1,[0.],0.0,0,0,[0]
43,30940,[[0.0316463]],0,[0.],0.0,0,0,[1]
43,30950,[[0.03215204]],1,[0.01],0.0,0,0,[0]
43,30960,[[0.02841647]],1,[0.02018741],0.0,0,0,[1]
44,30970,[[0.04565351]],1,[0.02],0.0,0,0,[1]
44,30980,[[0.06644387]],0,[0.],0.0,0,0,[0]
44,30990,[[0.03997441]],1,[0.],0.0,0,0,[1]
44,31000,[[0.04529351]],0,[0.],0.0,0,0,[1]
44,31010,[[0.03099176]],1,[0.01],0.0,0,0,[0]
44,31020,[[0.01790703]],0,[0.],0.0,0,0,[1]
44,31030,[[0.03513877]],1,[0.07],0.0,0,0,[0]
44,31040,[[0.03366022]],0,[0.],0.0,0,0,[1]
44,31050,[[0.03968675]],1,[-0.01],0.2,1,0,[0]
44,31060,[[0.02953128]],0,[0.],0.0,0,0,[1]
44,31070,[[0.03664466]],0,[-0.1],2.2,2,0,[0]
44,31080,[[-0.02211473]],1,[0.],0.0,0,0,[1]
44,31090,[[0.01947756]],0,[0.],0.0,0,0,[0]
44,31100,[[0.01192792]],1,[0.],0.0,0,0,[1]
44,31110,[[0.0297569]],0,[-0.01],0.2,1,0,[0]
44,31120,[[0.00423159]],1,[0.],0.0,0,0,[1]
44,31130,[[0.05266481]],0,[-0.1],2.2,2,0,[0]
44,31140,[[-0.00254149]],1,[0.],0.0,0,0,[1]
44,31150,[[0.01499122]],0,[0.],0.0,0,0,[0]
44,31160,[[0.00768274]],1,[0.],0.0,0,0,[1]
44,31170,[[0.02545419]],1,[-0.09],0.36,2,0,[1]
44,31180,[[-0.11410008]],1,[0.16],0.07407407407407407,1,0,[0]
44,31190,[[-0.02231399]],1,[0.06],0.3793103448275862,2,0,[1]
44,31200,[[-0.02811139]],1,[0.12],0.32142857142857145,2,0,[1]
44,31210,[[-0.14496762]],1,[0.26],0.0,2,0,[0]
44,31220,[[0.00268331]],1,[0.11],0.36666666666666664,3,0,[1]
44,31230,[[0.11337765]],1,[-0.11],0.37037037037037035,4,0,[1]
44,31240,[[-0.08563731]],1,[0.13],0.13793103448275862,3,0,[0]
44,31250,[[0.03952206]],1,[0.02],0.3333333333333333,3,0,[1]
44,31260,[[0.157509]],1,[-0.1],0.4074074074074074,5,0,[1]
44,31270,[[0.00665846]],1,[-0.11],0.6896551724137931,5,0,[1]
44,31280,[[0.048511]],1,[0.02],0.65625,2,0,[1]
44,31290,[[0.0175271]],1,[-0.04],0.6206896551724138,6,0,[1]
44,31300,[[0.10243373]],0,[-0.12],1.1612903225806452,5,0,[1]
44,31310,[[0.13714968]],1,[-0.11],0.3448275862068966,5,0,[1]
44,31320,[[-0.09312443]],1,[0.2],0.10714285714285714,2,0,[0]
44,31330,[[0.0422191]],1,[-0.03],0.5625,2,0,[1]
44,31340,[[0.02796059]],1,[0.19],0.12903225806451613,2,0,[1]
44,31350,[[0.09411828]],0,[-0.06],0.9655172413793104,4,0,[1]
44,31360,[[0.15411389]],1,[-0.17],0.5517241379310345,6,0,[1]
44,31370,[[0.03264464]],0,[0.11],1.125,2,0,[0]
44,31380,[[0.03513637]],0,[-0.05],1.2,1,0,[0]
44,31390,[[0.00691065]],0,[0.],0.0,0,0,[1]
44,31400,[[0.0313654]],1,[0.],0.0,0,0,[0]
44,31410,[[0.05206742]],1,[-0.02],0.4,1,0,[0]
44,31420,[[0.03092749]],0,[0.],0.0,0,0,[1]
44,31430,[[-0.00550545]],1,[0.],0.0,0,0,[0]
44,31440,[[0.00907161]],1,[-0.05],1.6,1,0,[1]
44,31450,[[-0.00568231]],0,[0.],0.0,0,0,[1]
44,31460,[[-0.00197896]],1,[0.11],0.0,0,0,[0]
44,31470,[[0.01777415]],0,[0.],0.0,0,0,[0]
44,31480,[[0.00590895]],1,[0.],0.0,0,0,[0]
44,31490,[[0.03616848]],1,[-0.05],1.2,1,0,[1]
44,31500,[[0.00782332]],0,[0.],0.0,0,0,[0]
44,31510,[[0.01833307]],0,[0.],0.0,0,0,[0]
44,31520,[[0.02757177]],0,[0.],0.0,0,0,[0]
44,31530,[[0.02777207]],1,[0.],0.0,0,0,[0]
44,31540,[[0.05342741]],0,[-0.04],0.6666666666666666,2,0,[0]
